,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude,longitude,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
53,33.0,-116.7,AMT006,BEA161,060730209021018,1.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
54,33.0,-116.6,AMT006,BEA161,060730209021029,2.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.0,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
55,33.0,-115.6,AMT006,BEA160,060250103001527,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.0,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
56,33.0,-115.5,AMT006,BEA160,060250103001252,4.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.0,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
57,33.0,-115.4,AMT006,BEA160,060250103001173,7.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.0,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
58,33.1,-117.4,,,,,,,,,,,33.1,-117.4,,,,,,,,,
59,33.1,-117.3,AMT006,BEA161,060730178082000,827.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
60,33.1,-117.2,AMT006,BEA161,060730200271043,759.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
61,33.1,-117.1,AMT006,BEA161,060730204043000,1267.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
62,33.1,-117.0,AMT006,BEA161,060730207091183,4.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
63,33.1,-116.9,AMT006,BEA161,060730207091116,5.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
64,33.1,-116.8,AMT006,BEA161,060730208071020,18.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
65,33.1,-116.7,AMT006,BEA161,060730209033350,9.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
66,33.1,-116.6,AMT006,BEA161,060730209043000,51.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
67,33.1,-116.3,AMT006,BEA161,060730210001082,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.1,-116.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
68,33.1,-115.7,AMT006,BEA160,060250102001010,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.1,-115.7,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
69,33.1,-115.5,AMT006,BEA160,060250101011296,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.1,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
70,33.1,-115.0,AMT006,BEA160,060250124002286,0.0,BTA124,CMA342,06025,Imperial,EAG006,IVM342,33.1,-115.0,MEA044,MTA002,PEA157,REA006,RPC005,CA,06,California,VPC006
71,33.2,-117.4,AMT006,BEA161,060739901000004,0.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-117.4,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
72,33.2,-117.3,AMT006,BEA161,060730185161007,1771.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
73,33.2,-117.2,AMT006,BEA161,060730192082024,82.0,BTA402,CMA018,06073,San Diego,EAG006,IVM018,33.2,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,06,California,VPC006
