,Unnamed: 0,latitude,longitude,amt,bea,block_fips,block_pop_2015,bta,cma,county_fips,county_name,eag,ivm,latitude.1,longitude.1,mea,mta,pea,rea,rpc,state_code,state_fips,state_name,vpc
39,39,32.9,-116.9,AMT006,BEA161,60730169021151.0,11.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
40,40,32.9,-116.8,AMT006,BEA161,60730169021133.0,26.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
41,41,32.9,-116.6,AMT006,BEA161,60730212021024.0,127.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
42,42,32.9,-116.5,AMT006,BEA161,60730209021184.0,3.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,32.9,-116.5,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
43,43,32.9,-115.9,AMT006,BEA160,60250123011280.0,1.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.9,-115.9,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
44,44,32.9,-115.6,AMT006,BEA160,60250110006073.0,1.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.9,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
45,45,32.9,-115.5,AMT006,BEA160,60250110006005.0,7.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.9,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
46,46,32.9,-115.4,AMT006,BEA160,60250108001053.0,1.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,32.9,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
47,47,33.0,-117.3,AMT006,BEA161,60739901000017.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
48,48,33.0,-117.2,AMT006,BEA161,60730170292010.0,40.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
49,49,33.0,-117.1,AMT006,BEA161,60730170321081.0,0.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
50,50,33.0,-117.0,AMT006,BEA161,60730170212007.0,530.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
51,51,33.0,-116.9,AMT006,BEA161,60730208013011.0,1048.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
52,52,33.0,-116.8,AMT006,BEA161,60730208112008.0,184.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
53,53,33.0,-116.7,AMT006,BEA161,60730209021018.0,1.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
54,54,33.0,-116.6,AMT006,BEA161,60730209021029.0,2.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.0,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
55,55,33.0,-115.6,AMT006,BEA160,60250103001527.0,0.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.0,-115.6,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
56,56,33.0,-115.5,AMT006,BEA160,60250103001252.0,4.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.0,-115.5,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
57,57,33.0,-115.4,AMT006,BEA160,60250103001173.0,7.0,BTA124,CMA342,6025.0,Imperial,EAG006,IVM342,33.0,-115.4,MEA044,MTA002,PEA157,REA006,RPC005,CA,6.0,California,VPC006
59,59,33.1,-117.3,AMT006,BEA161,60730178082000.0,827.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-117.3,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
60,60,33.1,-117.2,AMT006,BEA161,60730200271043.0,759.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-117.2,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
61,61,33.1,-117.1,AMT006,BEA161,60730204043000.0,1267.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-117.1,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
62,62,33.1,-117.0,AMT006,BEA161,60730207091183.0,4.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-117.0,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
63,63,33.1,-116.9,AMT006,BEA161,60730207091116.0,5.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-116.9,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
64,64,33.1,-116.8,AMT006,BEA161,60730208071020.0,18.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-116.8,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
65,65,33.1,-116.7,AMT006,BEA161,60730209033350.0,9.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-116.7,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
66,66,33.1,-116.6,AMT006,BEA161,60730209043000.0,51.0,BTA402,CMA018,6073.0,San Diego,EAG006,IVM018,33.1,-116.6,MEA044,MTA002,PEA018,REA006,RPC005,CA,6.0,California,VPC006
